12 100 10000
71 0.411185889384 0.757138196972 1
60 0.067899890975 0.641450761233 1
8 0.451178343519 0.545529761911 0
47 0.390960169382 0.729288275847 1
2 0.625279853285 0.887104798387 1
34 0.113759582521 0.834362294710 0
45 0.011872861878 0.817435752206 1
84 0.644918333021 0.726070881059 0
87 0.020927437419 0.742893892733 1
69 0.123523421032 0.219942185148 1
78 0.099039829916 0.405796007865 0
31 0.115476354140 0.438989538917 0
4 0.419388858902 0.763109370134 1
46 0.272008741157 0.300545570922 1
89 0.224173418126 0.567968264774 0
85 0.774811847749 0.938448207739 1
17 0.284819863950 0.886831427780 0
8 0.233274866788 0.562830181887 0
52 0.088939174105 0.814072312895 0
50 0.972428709393 0.997163469978 0
15 0.171687752987 0.279575639597 0
98 0.413951075695 0.808372418214 1
74 0.403041321813 0.875263570199 0
26 0.049776196337 0.450660480791 1
37 0.331082098061 0.437411177444 0
93 0.149304140555 0.422354606915 0
47 0.302713203548 0.769268188591 0
69 0.445561479235 0.952182732532 0
73 0.154578524447 0.324992284952 0
48 0.735040134191 0.752779824008 1
8 0.285039180539 0.315226865835 0
5 0.385582006097 0.448796295081 0
6 0.712447144922 0.764019139775 1
86 0.045012253532 0.204101211490 1
27 0.123702485991 0.333336562919 1
17 0.585496389774 0.638419504145 1
2 0.069327603663 0.399937766103 1
34 0.383318901860 0.813998199609 0
28 0.841915553582 0.845930905247 1
25 0.186971246206 0.674661048899 0
73 0.373703264223 0.689086792733 0
27 0.142030481648 0.234210045963 1
51 0.462780164860 0.599441526370 0
63 0.317542292803 0.515869356045 1
27 0.120507243222 0.388091315566 0
69 0.853974598837 0.981683822557 0
31 0.175355207409 0.484571908507 1
26 0.245284000140 0.875578650735 1
70 0.116686024181 0.825108797854 1
85 0.208107012813 0.846547623098 0
79 0.062518574406 0.225387372336 1
77 0.052787585962 0.280099435486 0
41 0.041329203954 0.052143287445 1
85 0.150930698747 0.462944134768 1
90 0.013540673938 0.619994462413 0
20 0.554648909466 0.559975629395 1
23 0.085225912546 0.784150050251 1
71 0.204903142696 0.618888087437 0
41 0.682657389009 0.753782622257 0
98 0.260528855110 0.434390659168 0
86 0.604260478269 0.985463210146 0
55 0.219045571963 0.373750014294 1
25 0.285411409168 0.770159256432 0
27 0.530037605364 0.905006702591 1
37 0.010053513290 0.763965108297 0
31 0.100814003559 0.850629421927 0
38 0.280120298120 0.327570791325 1
48 0.217374462649 0.770481400541 1
21 0.083224615255 0.775322453426 1
47 0.000565420999 0.700526602918 1
3 0.066345581553 0.757148337854 0
94 0.822306607650 0.999070580075 0
74 0.376331224953 0.411295263289 1
44 0.490531413366 0.676144062945 1
59 0.314367758559 0.576184827188 1
15 0.365185845194 0.890732797146 0
21 0.188834026885 0.590944320442 1
91 0.447296568853 0.858045284952 1
41 0.421381105815 0.946451411022 0
21 0.267936110193 0.403900493727 1
58 0.183943146988 0.609817623187 0
43 0.415417408960 0.723346941899 1
19 0.297316765806 0.703643722134 1
36 0.633593953221 0.696925413919 1
21 0.209082671362 0.229485222927 1
52 0.328623183677 0.797864077620 1
67 0.569190950781 0.623861226707 0
77 0.212014405936 0.551097023321 0
16 0.468627456739 0.675422795514 1
40 0.167520859815 0.616336322484 0
99 0.111030687476 0.829056430776 0
