4 20 50
5 0.3596 0.9126 0
8 0.1993 0.2314 1
15 0.7985 0.9641 0
2 0.1910 0.1978 1
19 0.0860 0.1194 1
2 0.2339 0.4146 0
9 0.7734 0.8728 0
9 0.0575 0.3834 1
0 0.3154 0.8579 1
9 0.7814 0.9537 1
10 0.5838 0.6069 1
1 0.3256 0.8559 0
16 0.1531 0.1880 1
18 0.2406 0.6665 0
9 0.3131 0.8217 0
8 0.0397 0.8258 0
9 0.5297 0.7898 0
7 0.0996 0.3510 0
0 0.8280 0.9523 1
5 0.1082 0.8143 1
7 0.1323 0.3231 1
1 0.6619 0.9827 1
7 0.5681 0.9689 0
4 0.1250 0.3054 1
4 0.7365 0.8756 1
0 0.5999 0.8289 0
18 0.6331 0.8059 1
6 0.8729 0.9221 1
4 0.0653 0.7804 0
17 0.1668 0.8844 1
5 0.3692 0.5814 1
4 0.2118 0.3477 1
13 0.2300 0.5553 1
1 0.5261 0.6729 0
0 0.7544 0.8079 0
16 0.7066 0.8167 1
18 0.2582 0.5935 1
16 0.1667 0.5089 0
5 0.3313 0.7826 0
0 0.4917 0.8130 1
1 0.2218 0.3655 0
13 0.3548 0.5421 0
0 0.7918 0.9436 0
2 0.1389 0.4083 0
11 0.1517 0.4847 0
14 0.0218 0.5648 0
18 0.3265 0.7301 0
15 0.3626 0.5816 1
1 0.4619 0.7674 1
0 0.5332 0.6823 0
